ZAAKNAAM;XCOORD;YCOORD;WERKOPP;outlet_type;m2_score;score_maartje;impact_factor;;
Broodje de Leeuw;124851;489294;70;Bakery;1;1,2;1,2;;
Bakkerij Kara Firin B.V.;116569;488328;71;Bakery;1;1,2;1,2;;
Damen & van Toor B.V.;115401;485846;72;Bakery;1;1,2;1,2;;
M.G.T. Doeleman h.o.d.n. Bakkerij Bart;121287;486763;73;Bakery;1;1,2;1,2;;
Broodbakker Simon Meijssen;120321;485820;74;Bakery;1;1,2;1,2;;
Broodbakker Simon Meijssen;120539;485215;75;Bakery;1;1,2;1,2;;
Nefis Saray;115864;487662;76;Bakery;1;1,2;1,2;;
Brood- en Banketbakkerij Hoeve V.O.F.;114500;485569;76;Bakery;1,5;1,2;1,8;;
Warme Bakker Nazar;119138;487170;80;Bakery;1,5;1,2;1,8;;
Uw warme ambachtelijke bakkerij Kardas;124044;486301;81;Bakery;1,5;1,2;1,8;;
Simit Paleis A.S.;118646;486379;81;Bakery;1,5;1,2;1,8;;
Banket Bakkerij Noord;122740;488484;82;Bakery;1,5;1,2;1,8;;
Bakkerij Kwakman;120745;486446;83;Bakery;1,5;1,2;1,8;;
BBrood 7 B.V.;118332;487955;87;Bakery;1,5;1,2;1,8;;
Bakkerij van Eijk;121713;486301;87;Bakery;1,5;1,2;1,8;;
Bakkerij Balvert;123767;485538;87;Bakery;1,5;1,2;1,8;;
Bakkerij van Schaik;121779;484275;88;Bakery;1,5;1,2;1,8;;
Banketbakkerij Daraa;116537;488336;90;Bakery;1,5;1,2;1,8;;
Bakkerij M'talsa;117252;488196;90;Bakery;1,5;1,2;1,8;;
Roturier Amsterdam B.V.;119616;484390;90;Bakery;1,5;1,2;1,8;;
Türkiyem Osdorp;115328;485731;90;Bakery;1,5;1,2;1,8;;
Rooth Brood en Banketbakkerij;122590;486531;90;Bakery;1,5;1,2;1,8;;
Brood- en Banketbakkerij Metalsa;114729;485645;90;Bakery;1,5;1,2;1,8;;
Remko's brood & taartjes;122233;483947;93;Bakery;1,5;1,2;1,8;;
Van den Bor - Koelewijn B.V.;123916;485194;94;Bakery;1,5;1,2;1,8;;
Bakkerij Eljouhara;120076;489304;96;Bakery;1,5;1,2;1,8;;
Kees Gutter B.V.;124850;489391;98;Bakery;1,5;1,2;1,8;;
Bakkerij Basak;118314;487320;99;Bakery;1,5;1,2;1,8;;
Baklava & Simit Plaza B.V.;114758;485018;102;Bakery;1,5;1,2;1,8;;
Bakkerij Kara Firin B.V.;115259;488082;106;Bakery;1,5;1,2;1,8;;
BBrood-2 B.V.;121868;487537;106;Bakery;1,5;1,2;1,8;;
De Lekkere Dingen Bakkerij B.V.;127062;480959;110;Bakery;1,5;1,2;1,8;;
M.G.T. Doeleman h.o.d.n. Bakkerij Bart;124360;490225;113;Bakery;1,5;1,2;1,8;;
De Lekkere Dingen Bakker;126118;479214;115;Bakery;1,5;1,2;1,8;;
Vinny's Bakery V.O.F.;127961;485704;116;Bakery;1,5;1,2;1,8;;
Bakkerij Renzema;119645;484389;117;Bakery;1,5;1,2;1,8;;
RSFS B.V.;121478;487995;121;Bakery;1,5;1,2;1,8;;
R. Leffers t.h.o.d.n. Bakker Bart;121181;485257;125;Bakery;1,5;1,2;1,8;;
Sjoerd van Willes;123554;489327;128;Bakery;1,5;1,2;1,8;;
Bakkerij Windhouwer B.V.;123007;491207;132;Bakery;1,5;1,2;1,8;;
Broodhuis Meijer;120081;482106;132;Bakery;1,5;1,2;1,8;;
Jaron Brood;116781;485364;137;Bakery;1,5;1,2;1,8;;
Brood- en Banketbakkerij Afrah Fes;116518;488155;142;Bakery;1,5;1,2;1,8;;
Hartog's Volkorenbakkerij B.V.;122544;485620;147;Bakery;1,5;1,2;1,8;;
Bakkerij Giel Imming;115053;486220;150;Bakery;1,5;1,2;1,8;;
Stadsbakker Jongejans;120350;482689;160;Bakery;1,5;1,2;1,8;;
Bakkerij Niemeijer;121529;487926;164;Bakery;1,5;1,2;1,8;;
Bakker Jongejans;126972;478726;190;Bakery;1,5;1,2;1,8;;
Brood en Banketbakkerij Postjesweg V.O.F.;118892;486458;212;Bakery;1,5;1,2;1,8;;
Bakkerij Westerpark;120147;488589;220;Bakery;1,5;1,2;1,8;;
H. Jongejans Reigersbos B.V.;122279;486019;238;Bakery;1,5;1,2;1,8;;
Boulangerie Nador 'Bos en Lommer' B.V.;118382;487970;255;Bakery;1,5;1,2;1,8;;
Bakkerij Arena;116565;488226;269;Bakery;1,5;1,2;1,8;;
De Lekkere Dingen Bakker;118557;485075;1060;Bakery;1,5;1,2;1,8;;
Coffee Shots B.V.;125344;490084;0;Coffee/tea store;0,5;1,3;0,65;;
't Zonnetje;121007;488371;35;Coffee/tea store;0,5;1,3;0,65;;
Kaldi Ceintuurbaan B.V.;120896;485088;36;Coffee/tea store;0,5;1,3;0,65;;
M. El Assmi/Kaldi koffie&thee A'dam Herengr.;120902;487047;39;Coffee/tea store;0,5;1,3;0,65;;
Formocha;120538;486871;40;Coffee/tea store;0,5;1,3;0,65;;
Kaffa Koffie & Thee Specialiteiten;123873;487037;46;Coffee/tea store;0,5;1,3;0,65;;
Cafe Couture NL B.V.;120001;486571;47;Coffee/tea store;0,5;1,3;0,65;;
Simon Levelt Koffie en Thee Speciaalzaak;120646;487487;50;Coffee/tea store;1;1,3;1,3;;
Simon Lévelt Jodenbreestraat;121933;486922;56;Coffee/tea store;1;1,3;1,3;;
Tea's Delight;119978;486759;56;Coffee/tea store;1;1,3;1,3;;
Tea Bar;120954;488421;58;Coffee/tea store;1;1,3;1,3;;
Simon Lévelt;121205;485037;66;Coffee/tea store;1;1,3;1,3;;
Simon Lévelt winkel CS;121819;487949;77;Coffee/tea store;1;1,3;1,3;;
Bas Eckmann thodn Kaldi Amsterdam Utr.straat;121762;486088;79;Coffee/tea store;1;1,3;1,3;;
C.F. de Roock/S. Lévelt k&t A'dam Waldenlaan;123774;485540;82;Coffee/tea store;1,5;1,3;1,95;;
Simon Lévelt Koffie en Thee Speciaalzaak;119731;486614;100;Coffee/tea store;1,5;1,3;1,95;;
Nespresso Nederland B.V.;120352;485888;111;Coffee/tea store;1,5;1,3;1,95;;
Four Leaves;120957;486116;116;Coffee/tea store;1,5;1,3;1,95;;
Nespresso Nederland B.V.;121203;486760;124;Coffee/tea store;1,5;1,3;1,95;;
Nespresso Nederland B.V.;120294;482736;178;Coffee/tea store;1,5;1,3;1,95;;
Deli-caat;118825;487181;0;Delicacies;0,5;0,2;0,1;;
The Tasting Experience;119865;482791;0;Delicacies;0,5;0,2;0,1;;
salad and the city;119895;486736;0;Delicacies;0,5;0,2;0,1;;
De Pindakaaswinkel B.V.;123921;487132;0;Delicacies;0,5;0,2;0,1;;
Olie & Zo;123946;487150;0;Delicacies;0,5;0,2;0,1;;
Jenny's delicatesse;113626;484819;0;Delicacies;0,5;0,2;0,1;;
V.O.F. Meeuwig;119666;489778;0;Delicacies;0,5;0,2;0,1;;
PuraVitaFood;117917;483673;0;Delicacies;0,5;0,2;0,1;;
Mister Meatball;121829;487677;14;Delicacies;0,5;0,2;0,1;;
Soup en Zo V.O.F.;121032;486283;25;Delicacies;0,5;0,2;0,1;;
Feduzzi's Mercato Italiano;121202;484316;25;Delicacies;0,5;0,2;0,1;;
Kooy's Deli;119313;485141;25;Delicacies;0,5;0,2;0,1;;
Da Magda;121801;485555;25;Delicacies;0,5;0,2;0,1;;
Ron's Delicatessen S.G. Vloothuis-Dilrosun;120587;487839;30;Delicacies;0,5;0,2;0,1;;
Pane E Olio Toscaanse Delicatessen;121058;487543;32;Delicacies;0,5;0,2;0,1;;
Soup en Zo;121965;486901;34;Delicacies;0,5;0,2;0,1;;
Casa Foodstore & Catering;120968;485319;34;Delicacies;0,5;0,2;0,1;;
Griekse Traiterie Romios;121423;485131;34;Delicacies;0,5;0,2;0,1;;
Ciao Bella Italiaanse Traiteur;121718;486154;34;Delicacies;0,5;0,2;0,1;;
Ruhe Delicatessen;121013;488365;35;Delicacies;1;0,2;0,2;;
De Tokoman Traiteur B.V.;121976;486671;35;Delicacies;1;0,2;0,2;;
Lavanta;119397;486168;36;Delicacies;1;0,2;0,2;;
Hollandse Delicatesse;120658;487568;36;Delicacies;1;0,2;0,2;;
Basilico Italiaanse Specialiteiten;120841;488278;40;Delicacies;1;0,2;0,2;;
Le Sud;120336;489393;42;Delicacies;1;0,2;0,2;;
Salsamentum;120559;488950;43;Delicacies;1;0,2;0,2;;
Olivaria;120437;487119;45;Delicacies;1;0,2;0,2;;
De Oliewinkel;120938;488250;49;Delicacies;1;0,2;0,2;;
Erik's Delicatessen;123018;485563;50;Delicacies;1;0,2;0,2;;
THULL'S;123312;485305;50;Delicacies;1;0,2;0,2;;
IL Pastificio;121634;485484;54;Delicacies;1;0,2;0,2;;
Griekse Traiterie Ela!;119213;487611;54;Delicacies;1;0,2;0,2;;
Prijatelji;120087;487484;54;Delicacies;1;0,2;0,2;;
Delicatesse 'Het Plein';120904;489120;56;Delicacies;1;0,2;0,2;;
Oil & Vinegar Amsterdam-Beethovenstraat;120222;484572;57;Delicacies;1;0,2;0,2;;
Al Ninen B.V.;120770;487962;59;Delicacies;1;0,2;0,2;;
Le Sud;120893;488498;61;Delicacies;1;0,2;0,2;;
Selinitsa;119861;485385;62;Delicacies;1;0,2;0,2;;
Japans en Aziatisch Delicatessenhuis Zen;121036;485578;65;Delicacies;1,5;0,2;0,3;;
Gastronomia Gianni Specialitá Liguri;121980;486644;65;Delicacies;1,5;0,2;0,3;;
Lezzet Traiteur;118481;484909;66;Delicacies;1,5;0,2;0,3;;
Pronk Culinair;116998;485504;67;Delicacies;1,5;0,2;0,3;;
Daily Delis de eet en drink winkel;124494;484729;70;Delicacies;1,5;0,2;0,3;;
Davids Coffee & Nuts;123540;485839;71;Delicacies;1,5;0,2;0,3;;
A Loja Portugese Delicatessen;119089;484990;72;Delicacies;1,5;0,2;0,3;;
The Italian Bistro Project;123659;485520;72;Delicacies;1,5;0,2;0,3;;
Sabor de Maria;120779;485035;75;Delicacies;1,5;0,2;0,3;;
Moldavië traiteur en catering;115860;487863;77;Delicacies;1,5;0,2;0,3;;
Eatalie Gastronomia;122264;484008;80;Delicacies;1,5;0,2;0,3;;
Ibericus NL B.V.;121205;488187;86;Delicacies;1,5;0,2;0,3;;
Uliveto;121551;485816;90;Delicacies;1,5;0,2;0,3;;
V.O.F. Casa Di Maggio;118680;485736;91;Delicacies;1,5;0,2;0,3;;
Mouwes Kosher Delicatessen V.O.F.;119838;482102;94;Delicacies;1,5;0,2;0,3;;
V.O.F. Traiteur Chefs & Co.;121113;484181;99;Delicacies;1,5;0,2;0,3;;
Assaggio Delicatessen;120948;487892;102;Delicacies;1,5;0,2;0,3;;
Cora Delicatessenwinkel;120764;486495;137;Delicacies;1,5;0,2;0,3;;
For Your Taste Only;121493;484108;152;Delicacies;1,5;0,2;0,3;;
Wiebe's Haringkar V.O.F.;119620;482016;0;Fish shop;0,5;2,8;1,4;;
Volendammer Vishandel Smit;120100;486246;0;Fish shop;0,5;2,8;1,4;;
Blauwe Haring;116270;484861;0;Fish shop;0,5;2,8;1,4;;
Fish Bar;118609;487072;0;Fish shop;0,5;2,8;1,4;;
Marine Resources Trading B.V.;120961;482114;0;Fish shop;0,5;2,8;1,4;;
Haring & Zo;121168;487351;0;Fish shop;0,5;2,8;1,4;;
VisPaleis Osdorp;115794;485357;0;Fish shop;0,5;2,8;1,4;;
Stubbe's Haring;121434;488025;0;Fish shop;0,5;2,8;1,4;;
Haringhandel Frens;121074;486726;0;Fish shop;0,5;2,8;1,4;;
Vishandel Schokker V.O.F.;118902;484177;0;Fish shop;0,5;2,8;1,4;;
Vishandel Playa;119047;486913;0;Fish shop;0,5;2,8;1,4;;
Veen Zeebanket;121194;484150;0;Fish shop;0,5;2,8;1,4;;
Vishandel De Boer & Klouwer;121363;492309;13;Fish shop;0,5;2,8;1,4;;
Dutch Four B.V.;121404;487483;14;Fish shop;0,5;2,8;1,4;;
Viswinkel Zeedijk;121844;487384;17;Fish shop;0,5;2,8;1,4;;
Firma Gebr. Molenaar;118462;488050;30;Fish shop;0,5;2,8;1,4;;
V.O.F. Vishandel Centrum;121083;488323;31;Fish shop;0,5;2,8;1,4;;
VIS VAN HENRY B.V.;120358;489305;31;Fish shop;0,5;2,8;1,4;;
Viswinkel LaMarina;114977;488419;35;Fish shop;0,5;2,8;1,4;;
Viswinkel Al Hoceima;123575;489429;36;Fish shop;0,5;2,8;1,4;;
Vishandel Dick Tol V.O.F.;120009;487546;38;Fish shop;0,5;2,8;1,4;;
Centrale Vishandel;120277;484671;40;Fish shop;0,5;2,8;1,4;;
Volendammer Vishandel Kroon;120167;482687;45;Fish shop;0,5;2,8;1,4;;
Vishandel Jan Hendriks;115808;484354;45;Fish shop;0,5;2,8;1,4;;
Royalvis & Traiteur;122541;489176;46;Fish shop;1;2,8;2,8;;
Vishandel C. Kwakman V.O.F.;118581;487099;47;Fish shop;1;2,8;2,8;;
Omaira Eiland;117889;487978;48;Fish shop;1;2,8;2,8;;
Vishandel Ibrahim;117889;487978;48;Fish shop;1;2,8;2,8;;
Vishandel Albert Cuyp;121370;485423;48;Fish shop;1;2,8;2,8;;
Vis Plaza Urk;120617;487755;49;Fish shop;1;2,8;2,8;;
Gebroeders Molenaar Vishandel;124561;485951;50;Fish shop;1;2,8;2,8;;
Vis van Wou;122025;484890;50;Fish shop;1;2,8;2,8;;
Volendammer Vishandel Le Filet;118353;484752;52;Fish shop;1;2,8;2,8;;
Volendammer Vishandel Tol & de Geus;123862;485198;52;Fish shop;1;2,8;2,8;;
Cara Bonita viswinkel;117024;485505;52;Fish shop;1;2,8;2,8;;
Yvonne's Vispaleis;121213;491856;53;Fish shop;1;2,8;2,8;;
El pescado visspec. & vis restaur. Oost B.V.;124207;486315;54;Fish shop;1;2,8;2,8;;
Vishandel Titanic;114731;485721;55;Fish shop;1;2,8;2,8;;
La Pescheria Italiana;119884;488073;55;Fish shop;1;2,8;2,8;;
Volendammer Vishandel J.C.M. Koning;121337;485376;56;Fish shop;1;2,8;2,8;;
Vishandel F. Schilder;124294;486287;56;Fish shop;1;2,8;2,8;;
Cala iris;118988;487820;57;Fish shop;1;2,8;2,8;;
Snoek Volendammer Vishandel;124514;484717;57;Fish shop;1;2,8;2,8;;
Zwarthoed Vishandel V.O.F.;120071;486773;60;Fish shop;1;2,8;2,8;;
Vishandel/Poelier Jonk B.V.;122205;484245;60;Fish shop;1;2,8;2,8;;
Haringhandel A. van Dok;119809;482713;63;Fish shop;1;2,8;2,8;;
Haringhandel Hans;115120;487950;65;Fish shop;1;2,8;2,8;;
Vishandel Jan Evertsen;118979;487168;68;Fish shop;1;2,8;2,8;;
Volendammer Vishandel 'De Zeemeermin';121211;485379;70;Fish shop;1,5;2,8;4,2;;
Fa. Dirk Tel;121816;487214;70;Fish shop;1,5;2,8;4,2;;
Vishandel La Dorade;129092;484910;71;Fish shop;1,5;2,8;4,2;;
